Class 1	Class 2	Class 3	Class 4
WP_002738232.1	WP_004462133.1	WP_000535865.1	WP_004462134.1
WP_000799637.1	WP_004450690.1	WP_001117631.1	WP_000824284.1
WP_002115474.1	WP_004434686.1	WP_002108504.1	WP_000673831.1
WP_002740041.1	WP_002733661.1	WP_002108484.1	WP_000723077.1
WP_061236010.1	WP_004503102.1	WP_025180280.1	WP_228008733.1
WP_001106774.1	WP_000653659.1	WP_000723079.1	WP_061209098.1
WP_000667982.1	WP_003009310.1	WP_000697351.1	WP_228039699.1
WP_282974006.1	WP_004434935.1	WP_002076509.1	WP_000361605.1
WP_282973988.1	WP_239248150.1	WP_000651740.1	WP_004483359.1
WP_004462889.1	WP_004450670.1	WP_004280058.1	WP_004462126.1
WP_002740724.1	WP_004421329.1	WP_000041234.1	WP_000950837.1
WP_002741071.1	WP_000665193.1	WP_000020777.1	WP_004503102.1
WP_002738295.1	WP_004421044.1		WP_000125000.1
WP_196221670.1			WP_001055393.1
