protein_acc,serogroup,class
WP_002725873.1,Ballum,1
WP_002733579.1,Ballum,1
WP_026054882.1,Ballum,1
WP_002733646.1,Ballum,1
WP_002733534.1,Ballum,1
WP_002733627.1,Ballum,1
WP_002740779.1,Ballum,1
WP_002740779.1,Ballum,1
WP_002740721.1,Ballum,1
WP_002740826.1,Ballum,1
WP_002740861.1,Ballum,1
WP_002740729.1,Ballum,1
WP_002740729.1,Ballum,1
WP_002740998.1,Ballum,1
WP_032853071.1,Ballum,1
WP_032853071.1,Ballum,1
WP_002740848.1,Ballum,1
WP_032853450.1,Ballum,1
WP_004777167.1,Ballum,1
WP_002740917.1,Ballum,1
WP_002740692.1,Ballum,1
WP_230456811.1,Ballum,1
WP_228003642.1,Ballum,1
WP_002740902.1,Ballum,1
WP_002740695.1,Ballum,1
WP_002740804.1,Ballum,1
WP_002740724.1,Ballum,1
WP_002740724.1,Ballum,1
WP_078313319.1,Ballum,1
WP_002740977.1,Ballum,1
WP_002733737.1,Ballum,1
WP_002740875.1,Ballum,1
WP_002733611.1,Ballum,1
WP_002740938.1,Ballum,1
WP_016749081.1,Ballum,1
WP_002738232.1,Ballum,1
WP_002744551.1,Ballum,1
WP_002741093.1,Ballum,1
WP_002733672.1,Ballum,1
WP_002733548.1,Ballum,1
WP_002733548.1,Ballum,1
WP_002733548.1,Ballum,1
WP_002733638.1,Ballum,1
WP_002733599.1,Ballum,1
WP_002733696.1,Ballum,1
WP_002740722.1,Ballum,1
WP_002740722.1,Ballum,1
WP_032853440.1,Ballum,1
WP_002740926.1,Ballum,1
WP_002740926.1,Ballum,1
WP_002741071.1,Ballum,1
WP_002740726.1,Ballum,1
WP_002740726.1,Ballum,1
WP_002740726.1,Ballum,1
WP_002740726.1,Ballum,1
WP_002740862.1,Ballum,1
WP_002740808.1,Ballum,1
WP_139363593.1,Ballum,1
WP_139363593.1,Ballum,1
WP_002740041.1,Ballum,1
WP_002740242.1,Ballum,1
WP_230456554.1,Ballum,1
WP_230456805.1,Ballum,1
WP_032850919.1,Ballum,1
WP_002740235.1,Ballum,1
WP_002740235.1,Ballum,1
WP_002733603.1,Ballum,1
WP_016749097.1,Ballum,1
WP_002733722.1,Ballum,1
WP_002733600.1,Ballum,1
WP_002733544.1,Ballum,1
WP_002733544.1,Ballum,1
WP_002733582.1,Ballum,1
WP_002733685.1,Ballum,1
WP_002733651.1,Ballum,1
WP_002733651.1,Ballum,1
WP_002738295.1,Ballum,1
WP_002733757.1,Ballum,1
WP_002733619.1,Ballum,1
WP_002733546.1,Ballum,1
WP_002733661.1,Ballum,1
WP_002740249.1,Ballum,1
WP_002733584.1,Ballum,1
WP_002740141.1,Ballum,1
WP_002740141.1,Ballum,1
WP_002740141.1,Ballum,1
WP_002740300.1,Ballum,1
WP_002740116.1,Ballum,1
WP_002733553.1,Ballum,1
WP_002733698.1,Ballum,1
WP_002733572.1,Ballum,1
WP_002733572.1,Ballum,1
WP_002721301.1,Ballum,1
WP_002721297.1,Ballum,1
WP_002733636.1,Ballum,1
WP_002733711.1,Ballum,1
WP_002740298.1,Ballum,1
WP_002733577.1,Ballum,1
WP_050547976.1,Ballum,1
WP_002723123.1,Ballum,1
WP_002727923.1,Ballum,1
WP_002740294.1,Ballum,1
WP_002727913.1,Ballum,1
WP_002742128.1,Ballum,1
WP_002742120.1,Ballum,1
WP_002742120.1,Ballum,1
WP_002727916.1,Ballum,1
WP_002740063.1,Ballum,1
